sample_id,html_file,benign_probability,malicious_probability
0,LIME_instance_0.html,0.9999860525131226,1.3961627701064572e-05
1,LIME_instance_1.html,1.1920928955078125e-07,0.9999998807907104
2,LIME_instance_2.html,0.9999994039535522,5.842146038048668e-07
3,LIME_instance_3.html,5.125999450683594e-06,0.9999948740005493
4,LIME_instance_4.html,0.999999463558197,5.598242864834901e-07
5,LIME_instance_5.html,1.1920928955078125e-07,0.9999998807907104
6,LIME_instance_6.html,1.1920928955078125e-07,0.9999998807907104
7,LIME_instance_7.html,3.3974647521972656e-06,0.9999966025352478
8,LIME_instance_8.html,0.9997371435165405,0.00026287062792107463
9,LIME_instance_9.html,0.9999993443489075,6.707398370053852e-07
10,LIME_instance_10.html,6.431341171264648e-05,0.9999356865882874
11,LIME_instance_11.html,0.9999972581863403,2.725661715885508e-06
12,LIME_instance_12.html,0.000525057315826416,0.9994749426841736
13,LIME_instance_13.html,1.1920928955078125e-07,0.9999998807907104
14,LIME_instance_14.html,0.007113158702850342,0.9928868412971497
15,LIME_instance_15.html,0.00014483928680419922,0.9998551607131958
16,LIME_instance_16.html,3.516674041748047e-06,0.9999964833259583
17,LIME_instance_17.html,3.9637088775634766e-05,0.9999603629112244
18,LIME_instance_18.html,0.9999998211860657,2.0389671817611088e-07
19,LIME_instance_19.html,0.9999747276306152,2.52535810432164e-05
20,LIME_instance_20.html,0.19256383180618286,0.8074361681938171
21,LIME_instance_21.html,0.7200358510017395,0.2799641489982605
22,LIME_instance_22.html,0.9999956488609314,4.370734131953213e-06
23,LIME_instance_23.html,9.5367431640625e-07,0.9999990463256836
24,LIME_instance_24.html,0.999998152256012,1.8358360875936341e-06
25,LIME_instance_25.html,0.9999998211860657,1.7865292534224864e-07
26,LIME_instance_26.html,0.9999961853027344,3.8282655623333994e-06
27,LIME_instance_27.html,0.9999943971633911,5.602169949270319e-06
28,LIME_instance_28.html,2.9802322387695312e-06,0.9999970197677612
29,LIME_instance_29.html,1.1920928955078125e-07,0.9999998807907104
30,LIME_instance_30.html,3.039836883544922e-06,0.9999969601631165
31,LIME_instance_31.html,0.00014865398406982422,0.9998513460159302
32,LIME_instance_32.html,1.1920928955078125e-07,0.9999998807907104
33,LIME_instance_33.html,1.1920928955078125e-06,0.9999988079071045
34,LIME_instance_34.html,0.9999881982803345,1.1806871953012887e-05
35,LIME_instance_35.html,0.9999998211860657,1.525608013253077e-07
36,LIME_instance_36.html,0.9999986290931702,1.3575086086348165e-06
37,LIME_instance_37.html,0.999998152256012,1.8557444718680927e-06
38,LIME_instance_38.html,1.1920928955078125e-07,0.9999998807907104
39,LIME_instance_39.html,1.6450881958007812e-05,0.999983549118042
40,LIME_instance_40.html,0.00037741661071777344,0.9996225833892822
41,LIME_instance_41.html,0.9999983310699463,1.6620597307337448e-06
42,LIME_instance_42.html,9.834766387939453e-05,0.9999016523361206
43,LIME_instance_43.html,0.9999988079071045,1.1824400871773832e-06
44,LIME_instance_44.html,0.00017821788787841797,0.9998217821121216
45,LIME_instance_45.html,0.999998927116394,1.0566998298600083e-06
46,LIME_instance_46.html,1.1920928955078125e-07,0.9999998807907104
47,LIME_instance_47.html,0.9999985098838806,1.4825220659986371e-06
48,LIME_instance_48.html,0.9999762177467346,2.3808050173101947e-05
49,LIME_instance_49.html,0.9999947547912598,5.262226295599248e-06
50,LIME_instance_50.html,0.9999980330467224,1.9614985831140075e-06
51,LIME_instance_51.html,0.9999989867210388,9.860494856184232e-07
52,LIME_instance_52.html,0.9999748468399048,2.5164799808408134e-05
53,LIME_instance_53.html,1.71661376953125e-05,0.9999828338623047
54,LIME_instance_54.html,0.9999988079071045,1.181111315418093e-06
55,LIME_instance_55.html,1.1920928955078125e-07,0.9999998807907104
56,LIME_instance_56.html,0.001613318920135498,0.9983866810798645
57,LIME_instance_57.html,1.1920928955078125e-07,0.9999998807907104
58,LIME_instance_58.html,3.635883331298828e-05,0.999963641166687
59,LIME_instance_59.html,0.9999998807907104,1.2479003430598823e-07
60,LIME_instance_60.html,1.1920928955078125e-07,0.9999998807907104
61,LIME_instance_61.html,0.9984344840049744,0.0015655294992029667
62,LIME_instance_62.html,0.00010347366333007812,0.9998965263366699
63,LIME_instance_63.html,1.4901161193847656e-06,0.9999985098838806
64,LIME_instance_64.html,0.9999861121177673,1.3908124856243376e-05
65,LIME_instance_65.html,1.1920928955078125e-07,0.9999998807907104
66,LIME_instance_66.html,0.9991574287414551,0.0008425808628089726
67,LIME_instance_67.html,0.9999998211860657,1.7616720526802965e-07
68,LIME_instance_68.html,1.1920928955078125e-07,0.9999998807907104
69,LIME_instance_69.html,0.9997512698173523,0.00024875396047718823
70,LIME_instance_70.html,0.999999463558197,5.069113058198127e-07
71,LIME_instance_71.html,0.0012394189834594727,0.9987605810165405
72,LIME_instance_72.html,0.9999911189079285,8.864699339028448e-06
73,LIME_instance_73.html,0.9999819397926331,1.8055470718536526e-05
74,LIME_instance_74.html,5.364418029785156e-07,0.999999463558197
75,LIME_instance_75.html,0.9999417066574097,5.8265253755962476e-05
76,LIME_instance_76.html,1.1920928955078125e-07,0.9999998807907104
77,LIME_instance_77.html,0.9653453230857849,0.03465469554066658
78,LIME_instance_78.html,0.9996845126152039,0.0003154751320835203
79,LIME_instance_79.html,0.9898697137832642,0.010130259208381176
80,LIME_instance_80.html,0.9999998807907104,1.0000000116860974e-07
81,LIME_instance_81.html,0.9997549057006836,0.0002451202308293432
82,LIME_instance_82.html,0.001072525978088379,0.9989274740219116
83,LIME_instance_83.html,0.016276299953460693,0.9837237000465393
84,LIME_instance_84.html,8.940696716308594e-07,0.9999991059303284
85,LIME_instance_85.html,1.1920928955078125e-07,0.9999998807907104
86,LIME_instance_86.html,0.9999998807907104,1.4723265451266343e-07
87,LIME_instance_87.html,5.3882598876953125e-05,0.999946117401123
88,LIME_instance_88.html,4.172325134277344e-07,0.9999995827674866
89,LIME_instance_89.html,0.6937103271484375,0.3062896728515625
90,LIME_instance_90.html,0.9999992251396179,7.686873004786321e-07
91,LIME_instance_91.html,1.1920928955078125e-07,0.9999998807907104
92,LIME_instance_92.html,0.21218031644821167,0.7878196835517883
93,LIME_instance_93.html,1.7881393432617188e-06,0.9999982118606567
